id_hotel,nombre,url_principal,ciudad,pais,latitud,longitud,url_2,url_3,url_4,url_5,url_6,url_7,url_8,url_9,url_10
5927981124,Colina de Pedra,,,Brasil,-29.3192917,-50.8983251,,,,,,,,,
5929943082,Hotel Kanayra,,Regeneração,Brasil,-6.2388235,-42.6881781,,,,,,,,,
5930274182,Tuti Bororo,,,Brasil,-16.4735979,-54.6368179,,,,,,,,,
5930312949,Caminho das Nascentes,,,Brasil,-23.568734,-45.7345433,,,,,,,,,
5931379497,Serras Hotel,,,Brasil,-16.469997,-54.6483909,,,,,,,,,
5952310785,Chalets Paradis,,,Brasil,3.8377537,-51.8346955,,,,,,,,,
5952570609,Pouso Lar Lar Doce,,,Brasil,-21.1120502,-44.1738912,,,,,,,,,
5955633856,Cambará Eco Hotel,,,Brasil,-29.0528065,-50.1344179,,,,,,,,,
5957639086,Hotel Barbosa,,,Brasil,-17.5665028,-52.5605725,,,,,,,,,
5957679291,Goiás Hotel,,,Brasil,-17.5557717,-52.5502193,,,,,,,,,
5961876078,,,,Brasil,-0.1571306,-50.3928666,,,,,,,,,
5961876084,,,,Brasil,-0.1558938,-50.392631,,,,,,,,,
5961880991,Pousada Gemaque,,Afuá,Brasil,-0.1552913,-50.3907794,,,,,,,,,
5961880999,,,,Brasil,-0.1592664,-50.3921607,,,,,,,,,
5961881000,,,,Brasil,-0.1586104,-50.3914482,,,,,,,,,
5961881001,,,,Brasil,-0.1587636,-50.3900253,,,,,,,,,
5961881010,,,,Brasil,-0.1572828,-50.387971,,,,,,,,,
5967615014,Aconchego da Tina,,,Brasil,-13.843299,-39.0087283,,,,,,,,,
5967615015,Pousada Recanto da Natureza,,,Brasil,-13.8443303,-39.0076822,,,,,,,,,
5967615016,Pousada Côco Dendê,,,Brasil,-13.842338,-38.9991555,,,,,,,,,
5967722643,Pousada e Restaurante Parque das Pitangueiras,,,Brasil,-29.0635457,-51.1869241,,,,,,,,,
5967724037,,,,Brasil,-29.0276321,-51.3087635,,,,,,,,,
5969413187,Hotel Zaras,,,Brasil,-10.8798992,-51.6362604,,,,,,,,,
5969416986,Hotel Brasil,,,Brasil,-10.8803636,-51.6373023,,,,,,,,,
5981562412,Hotel Conterrâneo,,,Brasil,-5.1843027,-37.3672562,,,,,,,,,
5981562413,Hotel Executivo Boulevard,,,Brasil,-5.1975067,-37.3477908,,,,,,,,,
5981822259,Rocha Palace Hotel,,,Brasil,-20.0139045,-45.9442771,,,,,,,,,
5987088734,Pousada dos Ingleses,,,Brasil,-27.1810139,-48.5386393,,,,,,,,,
5991852285,Monumental,,,Brasil,-15.7899231,-47.888293,,,,,,,,,
5993569900,Filadélfia,,São Paulo,Brasil,-23.5647999,-46.6922286,,,,,,,,,
5996972704,Ibis,,,Brasil,-9.747846,-36.6647066,,,,,,,,,
5998964660,Pousada Todo Dia,,,Brasil,-9.536044,-36.6321145,,,,,,,,,
6003662802,Master,,,Brasil,-15.5496979,-55.1667584,,,,,,,,,
6003681886,Bem Bom II,,,Brasil,-15.5482051,-55.1620932,,,,,,,,,
6004910742,Pousada Dos Capuchinhos,,,Brasil,-28.86314,-51.549777,,,,,,,,,
6016581304,,,,Brasil,-18.2527675,-43.6644789,,,,,,,,,
6018148577,Horto Hotel,,,Brasil,-16.4847149,-54.640398,,,,,,,,,
6018580586,Tuiuiu,,,Brasil,-16.2547914,-56.6274473,,,,,,,,,
6023920824,Top Center,,Itaperuna,Brasil,-21.2075515,-41.8878627,,,,,,,,,
6024566062,,,,Brasil,-19.8752582,-43.6667221,,,,,,,,,
6025933085,Taquari,,,Brasil,-18.501921,-54.7318707,,,,,,,,,
6026089969,Villas Plaza Hotel,,Lençóis Paulista,Brasil,-22.6024097,-48.8108865,,,,,,,,,
6026288090,Avendita,,,Brasil,-18.5043549,-54.7491673,,,,,,,,,
6031931369,Kayo's Hotel,,,Brasil,-17.5666652,-52.5623802,,,,,,,,,
6032774889,Hotel Ibis,,,Brasil,-4.2317202,-44.7764262,,,,,,,,,
6037739383,Fazenda Paisagem,,,Brasil,-22.6077537,-46.7238352,,,,,,,,,
6039380185,Hotel Samar,,,Brasil,-1.9192229,-55.5130133,,,,,,,,,
6040129905,Pousada Zardo,,,Brasil,-29.1457226,-51.1404962,,,,,,,,,
6040408600,Rota Hotéis,,,Brasil,-17.558631,-52.5357586,,,,,,,,,
6045284485,,,,Brasil,-3.0627839,-60.1089475,,,,,,,,,
6056132114,Pousada Praia de Subauma,,,Brasil,-12.2378674,-37.7744984,,,,,,,,,
6058162487,Chalé de Ouro,,,Brasil,-7.4954749,-34.9838068,,,,,,,,,
6067633123,De Stefani Hotel,,,Brasil,-29.6675378,-51.2545321,,,,,,,,,
6069520221,Itaoca Pousada & Camping,,Itapemirim,Brasil,-20.9095541,-40.7835756,,,,,,,,,
6071641671,Hotel Vicenza,,,Brasil,-22.2520394,-45.7048148,,,,,,,,,
6071647294,Hotel Real Palace,,,Brasil,-22.2527219,-45.7061395,,,,,,,,,
6073306935,Hotel União,,,Brasil,-29.5887643,-51.3550353,,,,,,,,,
