id,node_type,internet_access,air_conditioning,hot_water,swimming_pool,laundry,kitchen,breakfast,toilets,wheelchair,check_in,check_out,rooms,beds
1281734493,node,,,,,,,,,,,,,
1283831995,node,,,,,,,,,,,,,
1284433384,node,,,,,,,,,,,,,
1284609477,node,,,,,,,,,,,,,
1286589629,node,,,,,,,,,,,,,
1289117027,node,,,,,,,,,,,,,
1302279734,node,,,,,,,,,,,,,
1304638968,node,wlan,yes,,,,,,,,,,146,
1305387661,node,wlan,,,,,,,,,,,,
1305930984,node,,,,,,,,,,,,,
1306137919,node,,,,,,,,,,,,,
1306137921,node,,,,,,,,,,,,,
1307007134,node,,,,,,,,,,,,,
1307007135,node,,,,,,,,,,,,,
1307007147,node,,,,,,,,,,,,,
1307007149,node,,,,,,,,,,,,,
1307007150,node,,,,,,,,,,,,,
1307007151,node,,,,,,,,,,,,,
1307007159,node,,,,,,,,,,,,,
1307007162,node,,,,,,,,,,,,,
1307007165,node,,,,,,,,,,,,,
1307007166,node,,,,,,,,,,,,,
1307007167,node,,,,,,,,,,,,,
1307007168,node,,,,,,,,,,,,,
1307007169,node,,,,,,,,,,,,,
1307007171,node,,,,,,,,,,,,,
1307011271,node,,,,,,,,,,,,,
1307011273,node,,,,,,,,,,,,,
1307011274,node,,,,,,,,,,,,,
1307011275,node,,,,,,,,,,,,,
1307011276,node,,,,,,,,,,,,,
1307011277,node,,,,,,,,,,,,,
1307011278,node,,,,,,,,,,,,,
1307011279,node,,,,,,,,,,,,,
1307011280,node,,,,,,,,,,,,,
1307011281,node,,,,,,,,,,,,,
1307011282,node,,,,,,,,,,,,,
1307011283,node,,,,,,,,,,,,,
1311148661,node,,,,,,,,,limited,,,,
1313713904,node,wlan,,,,,,,,yes,,,96,
1337503978,node,wlan,yes,,,,,,,,,,162,
1340443190,node,,,,,,,,,,,,,
1340844763,node,,,,,,,,,limited,,,,
1346976412,node,wlan,,,yes,,,,,,,,494,
1354681511,node,wlan,,,outdoor,,,,,yes,,,205,
1354681514,node,wlan,yes,,,,,,,yes,,,127,
1354681515,node,wlan,,,outdoor,,,,,yes,,,181,
1356420898,node,wlan,,,outdoor,,,,,yes,,,235,
1383641705,node,,,,,,,,,,,,,
1399147715,node,,,,,,,,,,,,96,
1399179732,node,,,,,,,,,,,,75,
1399179735,node,,,,,,,,,,,,60,
1408081996,node,,,,,,,,,,,,,
1410928495,node,,,,,,,,,,,,,
1410928850,node,,,,,,,,,,,,,
1412285430,node,,,,,,,,,,,,,
1415534714,node,,,,,,,,,,,,,
1417314993,node,,,,,,,,,no,,,100,
1418757943,node,,,,,,,,,limited,,,,
1419391413,node,,,,,,,,,,,,,
1421822515,node,,,,,,,,,,,,,
1421822551,node,,,,,,,,,,,,,
1430135981,node,wlan,yes,,outdoor,,,,,yes,,,198,
1431037351,node,wlan,,,outdoor,,,,,,,,254,
1431037365,node,wlan,,,indoor,,,,,,,,303,
1431037373,node,wlan,,,indoors,,,,,,,,165,
1431037404,node,wlan,,,,,,,,,,,220,
1446278060,node,,,,,,,,,,,,,
1446665383,node,,,,,,,,,,,,,
1446665386,node,,,,,,,,,,,,,
1460498462,node,,,,,,,,,,,,,
1467509552,node,,,,,,,,,,,,,
1471154249,node,,,,,,,,,,,,,
1471168231,node,,,,,,,,,,,,,
1472601088,node,,,,,,,,,,,,,
1473460534,node,,,,,,,,,,,,,
1481543048,node,,,,,,,,,,,,,
1488094931,node,,,,,,,,,,,,,
1488233366,node,,,,,,,,,,,,,
1491015941,node,,,,,,,,,,,,,
1491019739,node,,,,,,,,,,,,,
1492053745,node,,,,,,,,,,,,,
1498980524,node,,,,,,,,,,,,,
1498980890,node,wlan,yes,,indoor,,,,,yes,,,114,
1500924292,node,,,,,,,,,,,,,
1504194697,node,,,,,,,,,,,,,
1504219552,node,,,,,,,,,,,,,
1506396670,node,,,,,,,,,,,,,
1510595898,node,wlan,yes,,,,,,,yes,,,146,
1510595931,node,yes,yes,,yes,,,,,,,,145,
1516701198,node,yes,yes,,,,,,,yes,,,,
1516903498,node,yes,yes,,,,,,,yes,,,,
1516903500,node,yes,yes,,,,,,,yes,,,,
1520470836,node,,,,,,,,,,,,,
1520470866,node,wlan,,,,,,,,yes,,,17,
1520470947,node,wlan,,,,,,,,yes,,,30,
1520475874,node,,,,,,,,,,,,,
1521239381,node,,,,,,,,,,,,,
1528749283,node,,,,,,,,,,,,,
1533444994,node,,,,,,,,,,,,,
1536222362,node,,,,,,,,,,,,,
1541852509,node,wlan,,,,,,,,,,,22,
1544676939,node,,,,,,,,,,,,,
1544676940,node,,,,,,,,,,,,,
1544709004,node,,,,,,,,,,,,,
1550789087,node,,,,,,,,,,,,,
1556176646,node,,,,,,,,,,,,,
1561804000,node,,,,,,,,,,,,,
1561804001,node,,,,,,,,,,,,,
1561804002,node,,,,,,,,,,,,,
1562224755,node,,,,,,,,,,,,,
1576303346,node,,,,,,,,,,,,,
1576952054,node,,,,,,,,,,,,,
1582002788,node,wlan,yes,,indoor,,,,,yes,,,107,
1582018166,node,wlan,,,,,,,,,,,19,
1583364236,node,,,,,,,,,,,,,
1588843549,node,,,,,,,,,,,,,
1595625036,node,,,,,,,,,,,,,
1599490627,node,wlan,,,,,,,,,,,86,
1599491488,node,,,,,,,,,,,,,
1600642494,node,,,,,,,,,,,,,
1600642509,node,,,,,,,,,,,,,
1613843051,node,,,,,,,,,,,,,
1617947384,node,wlan,,,,,,,,yes,,,143,
1619514576,node,,,,,,,,,,,,,
1619514578,node,,,,,,,,,,,,,
1621621161,node,wlan,,,,,,,,,,,18,
1639982158,node,,,,,,,,,,,,,
1641228594,node,,,,,,,,,,,,,
1641458875,node,,,,,,,,,,,,,
1642182059,node,,,,,,,,,,,,,
1643830173,node,,,,,,,,,,,,,
1646501874,node,,,,,,,,,,,,,
1651829940,node,,,,,,,,,,,,,
1652459863,node,,,,,,,,,,,,,
1654016901,node,,,,,,,,,,,,,
1656681984,node,yes,,,,,,,,,,,,
1669115609,node,,,,,,,,,,,,,
1669115616,node,,,,,,,,,,,,,
1669115618,node,,,,,,,,,,,,,
1677836714,node,,,,,,,,,,,,,
1677836881,node,,,,,,,,,,,,,
1677845139,node,,,,,,,,,,,,,
1677850925,node,,,,,,,,,,,,,
1677854258,node,,,,,,,,,,,,,
